Nombre,Habitantes,Capital,Extensión
México,128900000,Ciudad de México,1964375
Estados Unidos,331400000,Washington D.C.,9833517
Canadá,37700000,Ottawa,9984670
Brasil,213800000,Brasilia,8515767
Argentina,45500000,Buenos Aires,2780400
Colombia,50300000,Bogotá,1141748
Perú,32900000,Lima,496096
Venezuela,28500000,Caracas,916445
Chile,19300000,Santiago,756102
Ecuador,17400000,Quito,283561
Bolivia,11800000,La Paz,1098581
Paraguay,7400000,Asunción,406752
Uruguay,3400000,Montevideo,176215
Costa Rica,5100000,San José,51100
Panamá,4300000,Ciudad de Panamá,75517
Honduras,9700000,Tegucigalpa,112492
El Salvador,6500000,San Salvador,20742
Nicaragua,6500000,Managua,130373
Guatemala,17900000,Ciudad de Guatemala,108889
Belice,390000,Belmopán,22966
